deceptive,hotel,polarity,source,text
truthful,omni,positive,TripAdvisor,"iodine stayed at the Omni for one night following a business meeting at another downtown Chicago hotel. I was completely impressed by the service; all personnel during my stay were absolutely outstanding. I checked in quite early (no problem) and was efficiently checked in. My room had a somewhat heavy scent of air freshener (the ONLY negative from the entire stay), which was managed reasonably well by opening the windows. I don't generally require much during my hotel stays, but suffice to say the doorman, housekeeping, the night manager and bartender at 676, the day waiter at 676, and the concierge were amazing - I never waited more than about 30 seconds for anything. The room was very comfy and the amenities were superior. One very tiny complaint - there was no wastebasket near the sink or near the wet bar - had to walk to the other end of the bathroom or sitting room to dispose of kleenex/coffee paraphernalia. One wastebasket would make all the difference. All that said - what a great hotel!! Thanks, Omni - I had a great stay!"
truthful,omni,positive,TripAdvisor,"I stayed one night at the Omni after a business meeting at another hotel in downtown Chicago. I was completely impressed with the service; the entire staff during my stay was absolutely exceptional. I checked in fairly early (no problem) and was checked in efficiently. My room had a fairly strong air freshener smell (the ONLY negative of the entire stay), which was handled reasonably well by opening the windows. I don't usually need much during my hotel stays, but suffice it to say that the doorman, housekeeping, night manager and bartender at 676, day server at 676, and concierge were all incredible - I never waited more than 30 seconds for anything. The room was very comfortable and the amenities were superior. One very small complaint - there was no trash can near the sink or near the bar - I had to walk all the way to the other end of the bathroom or living room to throw away tissues/coffee accessories. Just one trash can would make a world of difference. All that said - what a great hotel!! Thank you, Omni - I had a great stay!"
truthful,conrad,positive,TripAdvisor,"We stay in the Conrad for 4 nights just before Thanksgiving. We had a corner room overlooking N Michigan Av and the Tribune Building. To say this is a 5 star hotel is to damn this place with faint praise - it is wonderful. The staff were unbelievably helpful. The standard of the room was superb - HD plasma screens, luxury bedlinens, iPod radio, huge bathroom. Location is unbeatable - right in the heart of everything - watched the whole Light Festival parade from the window. Breakfasts were excellent - no help yourself buffet here - with full and attentive table service. Would have no hesitation recommending or staying again in this hotel - 5 out of 5."
truthful,conrad,positive,TripAdvisor,"We stayed at the Conrad for 4 nights just before Thanksgiving. We had a corner room overlooking N Michigan Av and the Tribune Building. To say this is a 5 star hotel is to condemn it with faint praise - it is wonderful. The staff were incredibly helpful. The standard of the room was superb - HD plasma screens, luxury bed linens, iPod radio, huge bathroom. The location is unbeatable - right in the heart of everything - we watched the entire Light Festival parade from the window. The breakfasts were excellent - no all you can eat buffet here - with full and attentive table service. I would not hesitate to recommend or stay at this hotel again - 5 out of 5."
truthful,omni,positive,TripAdvisor,"just got back from 2 days up in Chicago shopping with girlfriends. First time I have stayed at the Omni. I did so because I saw a $129.00 rate that included $25.00 of free food on Travelzoo. The three of us (55 year olds) all stayed in one suite with 2 double beds and a VERY comfortable pull out sofa. We had plenty of room. Food in the restaurant was great, service was outstanding from everone we came into contact with, early morning delivery of free coffee, juice and hot chocolate was fabulous and recommendations from the staff on where to eat, time of movies, shopping areas, etc was really helpful. Need I mention the outstanding location? Simply the best! We all decided that the Omni is our new favorite hotel."
truthful,omni,positive,TripAdvisor,"I just got back from a 2 day shopping trip to Chicago with some girlfriends. This is my first time staying at the Omni. I did it because I saw a $129 rate that included $25 free food on Travelzoo. The three of us (55) stayed in a suite with 2 double beds and a VERY comfortable sofa bed. We had plenty of room. The food in the restaurant was excellent, the service was exceptional from everyone we came into contact with, the morning delivery of complimentary coffee, juice, and hot chocolate was fabulous, and the staff's recommendations for places to eat, movie times, shopping areas, etc. were so helpful. Need I mention the amazing location? Simply the best! We have all decided that the Omni is our new favorite hotel."
truthful,omni,positive,TripAdvisor,"We arrive at the Omni on 2nd September for a 6 day stay. I took ill when I left the plane after travelling from Manchester so I saw more of the room than I anticipated. I couldn't go out for 4 days. The room was spacious and clean. The bed was extremely comfortable. The bathroom was large and very clean. What more could you ask. We had coffee and juice left outside our door every morning at the time we requested. I managed to go to the 5th floor to see the sun terrace (outside the gym) Having a sun terrace in a city hotel is a great idea but the terrace was a bit grim. A few sunbeds on a concrete floor. There was also noise from an air conditioning unit. It could do with a bit of cheering up. What I saw of Chicago was very pleasing, it has something for everyone. Would I go back to the Omni? yes I would."
truthful,omni,positive,TripAdvisor,"We arrived at the Omni on 2nd September for a 6 day stay. I got sick after flying from Manchester so saw more of the room than I had planned. I didn't get out for 4 days. The room was spacious and clean. The bed was extremely comfortable. The bathroom was large and very clean. What more could you ask for? We had coffee and juice left outside our door every morning at the time we requested. I managed to get to the 5th floor to see the sun terrace (outside the gym). Having a sun terrace in a city hotel is a great idea but the terrace was a bit bleak. A few sun loungers on a concrete floor. There was also noise from an air conditioner. Could do with some comfort. What I saw of Chicago was very nice, there is something for everyone. Would I return to the Omni? Yes I would."
truthful,hyatt,positive,TripAdvisor,"on our visit to Chicago, we chose the Hyatt due to its location in downtown, within walking distance to most major attractions, such as Sears Tower, Magnificent Mile, Grant/Millenium Parks, etc. Subway & bus stops very close by to travel to other locations in the city . Overall the hotel was very nice, clean, and at a great location. Was in a safe area. Went to beautiful Wrigley Field and Soldier Field and saw both teams play. I love Chicago and would defenitely stay here again!"
truthful,hyatt,positive,TripAdvisor,"When visiting Chicago, we chose the Hyatt because of its downtown location, within walking distance of most major attractions, such as the Sears Tower, the Magnificent Mile, Grant/Millenium Parks, etc. The subway and bus stops are very close to get to other parts of the city. Overall, the hotel was very nice, clean, and in a great location. It was in a safe neighborhood. We went to the beautiful Wrigley Field and Soldier Field and saw both teams play. I love Chicago and would definitely stay here again!"
truthful,fairmont,positive,TripAdvisor,"iodine stayed at the Fairmont Chicago for one night - I'm a frequent business traveler and am very familiar with travel rituals. I checked in late (almost 10pm) due to flight cancellations from my home airport -- Atlanta. I took the shuttle to the airport (best option in lieu of the over priced taxis), and it was my first time staying at the hotel. Upon arrival, I immediately noticed the entrance, which appeared very welcoming and warm to me. I checked in with no problems -- and the desk person even asked if I'd prefer a king or double (reconfirming my reservation preference). I always take the king when I can, and the bed was fantastic! It was suited with great linen and these incredible down & feather pillows named Encompass made by The Pillow Factory -- I checked the tags, since I plan to buy some! I ate dinner at the hotel restaurant - Aria, which they mention they like to be considered separate from the hotel -- and YES, it does stand out all on it's own. The food is Asian fusion, and truly wonderful -- as a gourmand and life-long foodie, I appreciate great food when I taste it! The hotel service was good as well. Only drawback was the breakfast buffet at the restaurant -- seems they need to stick with their dinner theme solely. They missed the mark on relatively simply things like scrambled eggs on the buffet, which tasted a bit 'metallic'. But they made up for it by getting a special order made immediately after I passed on the buffet. I would highly recommend this hotel -- it has atmosphere and a great view (if you can get a room with one), fabulous dinner -- just pass on the breakfast buffet."
truthful,fairmont,positive,TripAdvisor,"I stayed one night at the Fairmont Chicago. I am a frequent business traveler and am very familiar with travel rituals. I checked in late (almost 10pm) due to flight cancellations from my home airport of Atlanta. I took the airport shuttle (best option instead of overpriced taxis), and this was my first time staying at this hotel. Upon arrival, I immediately noticed the lobby, which seemed very welcoming and warm. I checked in without a hitch, and the front desk person even asked me if I preferred a king or double room (which confirmed my booking preference). I always book the king room when I can, and the bed was fantastic! It had quality linens and these amazing Encompass down and feather pillows made by The Pillow Factory. I checked the tags because I plan on buying some! I had dinner at the hotel restaurant, Aria, which they mention they like to be considered separate from the hotel, and YES, it stands out on its own. The food is Asian fusion and really delicious. As a long-time foodie and gourmand, I appreciate good food when I get it! The service at the hotel was also good. The only downside was the breakfast buffet at the restaurant. It seems like they have to stick to their dinner theme only. They missed the mark on relatively simple things like the scrambled eggs at the buffet, which tasted a bit ""metallic"". But they made up for it by having a special order prepared immediately after I declined the buffet. I highly recommend this hotel. It has a great atmosphere and view (if you can get a room with one), fabulous dinner. Just skip the breakfast buffet."
truthful,conrad,positive,TripAdvisor,"Ok, sol first trip to chicago and I was a litlle worried about the hotel and the location, finally I decided on the CONRAD and wath a good experience i had, I booked a king deluxe room on the 6th floor, view was not amazing but that was the only coplaint i could had, room is nice, bath was all appliances and good size, good plasma tv, free internet, we asked one day for breaksfast and amazing food! so overall and for the price aroufn 220 It was a great surprise, the locating was very good a few blocks from everything and very quiet hotel"
truthful,conrad,positive,TripAdvisor,"Ok so first trip to Chicago and I was a little worried about the hotel and location, finally I decided for the CONRAD and what a great experience I had, I booked a deluxe king room on the 6th floor, the view wasn't amazing but that was the only complaint I could have, the room is nice, the bathroom was fully equipped and a good size, good plasma TV, free internet, we asked for breakfast one day and the food was amazing! so overall and for the price around 220 it was a great surprise, the location was very good just a few blocks from everything and a very quiet hotel"
truthful,hyatt,positive,TripAdvisor,"We arrive at 10:30 am on a Friday, and they had a room ready for us by 11:30 am, mind you check in is not until 3:00pm. We got our room on Priceline for $65.00 per night and stayed 3 nights. We were upgraded - for free - to a suite. I think I was so blown away by that, that I forgot to thank them at check-in! Our room was fantastic. It also had a wet bar and a fridge. The bathroom was quite large and had a nice sized closet with many hangers. I knew from previous reviews to not touch the mini-bar. The bed and pillows were very comfortable. The room was very clean. Every employee there went out of their way to be friendly and helpful. We stayed on the 25th floor of the east tower and had a quiet room. Yes, you could hear people in the hallways, but only because they were rude and were yelling. These were not children, they were adults. I don't know why everyone complains about $48 for parking. This is Chicago and every other hotel we saw charged just as much, some without in/out privledges. We didn't use any of the restaurants or the health club. We tried to eat at the Corner Bakery but it was too crowded. Breakfast at nearby Houlihan's had a buffet for $9.99 per person. Also the grocery store behind the hotel is great. There is a 7-11 not too far away. I don't know why there are so many bad reviews on this hotel. Yes, it's a big hotel. If you don't want a busy lobby, don't stay in a 2,000 plus room hotel!! I loved the Hotel and would recommend it to anyone. Not one problem. Wasn't too busy for me. Would stay here again in a heartbeat."
truthful,hyatt,positive,TripAdvisor,"We arrived at 10:30am on a Friday and they had a room ready for us at 11:30am, be aware check in is not until 3:00pm. We got our room on Priceline for $65.00 a night and stayed 3 nights. We were upgraded - for free - to a suite. I think I was so blown away by this that I forgot to thank them at check in! Our room was fantastic. It also had a wet bar and refrigerator. The bathroom was quite large and had a good sized closet with plenty of hangers. I knew from previous reviews not to touch the minibar. The bed and pillows were very comfortable. The room was very clean. All of the staff went out of their way to be friendly and helpful. We stayed on the 25th floor of the East Tower and had a quiet room. Yes, you could hear people in the hallways, but only because they were rude and yelling. These weren't kids, they were adults. I don't know why everyone is complaining about the $48 parking fee. This is Chicago and every other hotel we've seen charges that much, some with no in/out privileges. We didn't use any of the restaurants or the health club. We tried to eat at the Corner Bakery but it was too crowded. Breakfast at the nearby Houlihan's had a buffet for $9.99 per person. The grocery store behind the hotel is also great. There is a 7-11 not too far away. I don't know why there are so many bad reviews for this hotel. Yes, it is a big hotel. If you don't want a crowded lobby, don't stay at a hotel with 2,000+ rooms! I loved the hotel and would recommend it to anyone. No problems. It wasn't too crowded for me. I would definitely go back."
truthful,conrad,positive,TripAdvisor,"My wife and iodine came to spend the weekend in downtown Chicago for shopping and we found this Conrad hotel well located close to everything downtown and of a size that doesn't make you feel lost in the Convention world. We have had this feeling when staying at larger hotels in the past. Our Suite has view on Michigan avenue with a bit of the Lake at the end. Staff was very professional, pleasant and friendly making us feel very comfortable. Internet is free n the rooms and I am making my review from there."
truthful,conrad,positive,TripAdvisor,"My wife and I came to downtown Chicago for the weekend to do some shopping and found this Conrad to be conveniently located close to everything downtown and of a size that doesn't make you feel lost in the convention world. We've had that feeling when staying at larger hotels in the past. Our suite overlooked Michigan Avenue with a bit of the lake at the end. The staff was very professional, pleasant and friendly, making us feel very welcome. The internet is free in the rooms and that's where I base my review."
truthful,hyatt,positive,TripAdvisor,"iodine got a Sunday night stay for only $50 off of Priceline.com, so it would be hard to complain...but this was truly a great hotel, even if I paid double. The first impression you get when you walk through the sliding doors of the Hyatt Regency Chicago is WOW. The lobby is beautiful with a upscale mall type of look to it with an open area that has a restaurant, plenty of couches,seats etc to people watch and a lake with water fountains. You take the escalator to the concierge/directory/check in area. The hotel let me check in at 12pm (I had a 3pm check in time). I suggest you call ahead like I did so they know you are coming early.The women at the desk was friendly and when I requested a higher level floor she was more than happy to look it up and even told me 'I have a room on the 18th floor with a veiw of the river or you can go higher with no view'. I thought it was pretty nice to give me that information so that I wouldnt get stuck with a room with a view of a wall. The rooms are big (I had a doubles room) The beds were beautiful with great pillows,blankets,headboards etc. An Ipod alarm clock was a nice 21st century touch to the room. Great to plug in your ipod, listen to some music and get ready for a night out or when relaxing after a long day of touring Chicago. The view was very nice and the bathroom was spotless and had great toiletries. Another great feature is the concierge area's computers that gives you access to printing your boarding pass before you get to the airport. You simply look at the screen, click on your airline icon and following the instructions. I had my boarding passes in about a minute. Came in handy when I got to OHare and was able to skip a long line of frustrated passengers. I was only in the hotel for 1 day, but it was by far one of the better hotel experiences I have had and I travel alot. It is a business hotel, but definitely a great choice for families and couples. Definitely would stay here again when Im passing through Chicago."
truthful,hyatt,positive,TripAdvisor,"I got a Sunday night stay for only $50 off on Priceline.com, so it would be hard to complain...but it was a really great hotel, even though I paid double. The first impression you get when you walk through the sliding doors of the Hyatt Regency Chicago is WOW. The lobby is beautiful with an upscale mall look with an open space that includes a restaurant, lots of couches, seating, etc. for people watching, and a lake with water fountains. You take the escalator down to the concierge/directory/check-in area. The hotel let me check in at 12pm (I had a 3pm check-in time). I suggest calling ahead like I did so they know you are arriving early. The woman at the front desk was friendly and when I asked for a higher floor she was more than happy to look it up and even said ""I have a room on the 18th floor with a view of the river or you can go higher without a view"". I thought it was pretty cool to give me that information so I wouldn't be stuck with a room with a view of a wall. The rooms are large (I had a double), the beds were beautiful with great pillows, blankets, headboards, etc. An iPod alarm clock was a nice 21st century touch in the room. Perfect for plugging in your iPod, listening to music and getting ready for a night out or unwinding after a long day of sightseeing in Chicago. The view was beautiful and the bathroom was spotless and had great toiletries. Another nice feature is the computers in the concierge area that allow you to print your boarding pass before you get to the airport. All you have to do is look at the screen, click on your airline icon and follow the instructions. I had my boarding passes in about a minute. This came in handy when I arrived at OHare and was able to avoid a long line of frustrated passengers. I only stayed at the hotel for one day, but it was by far one of the best hotel experiences I have had and I travel a lot. It is a business hotel, but it is definitely a great choice for families and couples. I will definitely stay here again when I am in Chicago."
truthful,conrad,positive,TripAdvisor,"This be a superb hotel. The rooms are huge, including a luxurious bathroom. It is clean and service is first rate. Breakfast was excellent (and complimentary for Hilton Honors members). Hotel is in a good location, and is connected to a mall, which I imagine would be a great asset in the Chicago winter. Next time I go to Chicago, I will stay here for sure."
truthful,conrad,positive,TripAdvisor,"This is a great hotel. The rooms are huge, with luxurious bathrooms. It's clean and the service is top notch. The breakfast was excellent (and free for Hilton Honors members). The hotel is conveniently located and connected to a shopping mall, which I imagine would be a major plus during the Chicago winter. Next time I'm in Chicago, I'll definitely stay here."
truthful,conrad,positive,TripAdvisor,"We stay at the Conrad for 2 nights for a friends reunion. The room was clean and new feeling, nice city view, free bottled water in room upon arrival. Check in was a breeze, and our room was ready even though we were several hours early. All staff was friendly and helpful, excellent breakfast."
truthful,conrad,positive,TripAdvisor,"We stayed at the Conrad for 2 nights for a friends reunion. The room was clean and new, with a nice view of the city, complimentary bottled water in the room upon arrival. Check in was smooth and our room was ready even though we arrived several hours early. All the staff were friendly and helpful, excellent breakfast."
truthful,conrad,positive,TripAdvisor,"The Conrad hotel is a beautiful hotel. Our room was perfect and beautiful in every way. I was very impressed (and I am hard to please and have high standards). It was so clean, aesthetically pleasing, up to date, just gorgeous! I would definitely stay there again. I loved it. The location is superb too, attached to Nordstrom and Northbridge mall. Can't wait to go back!"
truthful,conrad,positive,TripAdvisor,"The Conrad Hotel is a beautiful hotel. Our room was perfect and beautiful in every way. I was very impressed (and I am hard to please and have high standards). It was very clean, aesthetically pleasing, modern, just beautiful! I would definitely stay there again. I loved it. The location is also great, next to Nordstrom and the Northbridge Mall. I can't wait to go back!"
truthful,conrad,positive,TripAdvisor,"My boyfriend and iodine decided to stay at the Conrad Chicago for our anniversary. The second we walked in, we were immediately won over by the look and feel of the room. White luxurous bedding on the King bed, plasma t.v./ subroofer/ surround sound speakers (my boyfriend was more impressed than me, as I reminded him that we didn't come to Chicago for the hotel room) very large bathroom w/ tub and separate stand-in shower, granite countertops, his/ her robes and slippers. The view wasn't great, but we were on the 6th floor and not really high enough to see anything but the side of the building next to us. Not a large room by any means, but again . . . we didn't go to the city for the hotel room. It was the prefect size for the amount of time we were actually in the room. We got a great rate on it ($140 at hotels.com) but I think the going rate is usually closer to mid $200's. I've stayed in quite a few hotels in the downtown area and none have ever impressed me more than this one. We will definitely be staying there again on our next trip into the city."
truthful,conrad,positive,TripAdvisor,"My boyfriend and I decided to stay at the Conrad Chicago for our anniversary. Upon arrival, we were immediately wowed by the look and feel of the room. Luxurious white bedding on the king bed, plasma TV/sunroof/surround speakers (my boyfriend was more impressed than I was, as I reminded him we didn't come to Chicago for the hotel room), very large bathroom with a separate tub and shower, granite countertops, and his/her robes and slippers. The view wasn't great, but we were on the 6th floor and not high enough to see anything but the side of the building next to us. It wasn't a large room by any means, but then again...we didn't go into town for the hotel room. It was the perfect size for the amount of time we spent in the room. We got a great rate ($140 on hotels.com) but I think the going rate is usually closer to the mid-$200s. I have stayed in many hotels in the city center and none have impressed me as much as this one. We will definitely stay here again on our next trip to the city."
truthful,omni,positive,TripAdvisor,"get a good deal on a weekend pacage in this Hotel and have to say it is the nicest stay I have had in more than a dozen business trips to Chicago. All rooms are Suites, staff is friendly and professional, Restaurant is out of this world and all the extras like a great health club, turn down service, complimentary morning beverages delivered to room and on and on. Room was very clean and every need was attended to without feeling intruded on. Will definately stay here again."
truthful,omni,positive,TripAdvisor,"I got a great deal on a weekend package at this hotel and I have to say it was the most enjoyable stay I have had in over a dozen business trips to Chicago. All the rooms are suites, the staff is friendly and professional, the restaurant is outstanding and all the extras like a great health club, turndown service, complimentary morning drinks delivered to the room and so on. The room was very clean and every need was catered to without me feeling intruded upon. I will definitely stay here again."
truthful,fairmont,positive,TripAdvisor,iodine stayed at the Fairmont for a few nights and found the whole experience excellent. I was given a very large room with great views of the city; the breakfast was extremely good; and the location was as central as I could have wished for. The pool was not large but felt luxurious and was great for early morning swims. In the evening I spent some time in the hotel bar with friends and that was excellent too. Highly recommended as a base for exploring Chicago.
truthful,fairmont,positive,TripAdvisor,"I stayed at the Fairmont for a few nights and found the experience excellent. I was given a very large room with a great view of the city, the breakfast was extremely good and the location was as central as I could have hoped for. The pool was not large but felt luxurious and was great for morning swims. In the evening I spent time in the hotel bar with friends and it was also excellent. Highly recommended as a base for exploring Chicago."
truthful,fairmont,positive,TripAdvisor,"We travel to Chicago to see an exhibit at the Art Institute and selected the Fairmont because it was so close. Although the lobby is still being renovated, our experience at the hotel was uniformly positive. The room was nicely sized and newly remodeled and immaculate. The only glitch involved getting the room coffee replenished. The maid does not do that, and by bedtime on the first night, we still didn't have coffee. We called the front desk and they immediately delivered a fresh supply. The restaurant is a little underwhelming, but with so many other places to go within a very few blocks, we probably wouldn't have eaten there any more than we did. After having stayed in close to a dozen different Chicago hotels, this may be the hotel we return to whenever we return."
truthful,fairmont,positive,TripAdvisor,"We went to Chicago to see an exhibit at the Art Institute and chose the Fairmont because it was so close. Although the lobby is still under renovation, our overall experience at the hotel was positive. The room was a good size, recently renovated, and spotless. The only issue was refilling the coffee in the room. The maid did not keep it refilled and by bedtime the first night we still had no coffee. We called the front desk and they immediately delivered a new coffee. The restaurant is a bit disappointing, but with so many other places to go within a few blocks, we probably wouldn't have eaten there more than we did. After staying at nearly a dozen different hotels in Chicago, this may be the hotel we'll stay at every time we return."
truthful,fairmont,positive,TripAdvisor,"iodine actually booked this reservation with the hotel over the phone and got a great rate -- much lower than the usual price! It was a lovely hotel, beautifully appointed, walking distance from the places we wanted to go. We would highly recommend the Fairmont."
truthful,fairmont,positive,TripAdvisor,"I actually booked this room over the phone and got a great rate, much lower than the usual rate! It was a lovely hotel, nicely appointed, within walking distance of where we wanted to go. We highly recommend the Fairmont."
truthful,hyatt,positive,TripAdvisor,"name my price on priceline. $50.00 Bucks. Hotel room was great. Clean, Clean and new. Fresh crisp sheets, comfortable bed, flat screen TV, clean carpet, nice bath, etc. Short distance to food and sightseeing. I highly recommend this property. Be prepared to pay over $40.00 per night to park. Hey, Its a hyatt. They also charge $5.00 for a bottle of water that is normally a buck. For a total of $100.00 nightly stay in Chicago this place is it just don't drink the bottled water. Happy Travels"
truthful,hyatt,positive,TripAdvisor,"I quoted my price on Priceline. $50.00 Bucks. The hotel room was great. Clean, neat and new. Crisp fresh sheets, comfortable bed, flat screen TV, clean carpet, nice bathroom, etc. Short distance to restaurants and sights. I highly recommend this property. Be prepared to pay over $40.00 per night for parking. Hey, it's a Hyatt. They also charge $5.00 for a bottle of water that normally costs a dollar. For a total of $100.00 per night in Chicago, this place is perfect, don't drink the bottled water. Have a great trip"
truthful,hyatt,positive,TripAdvisor,"check-in was fast, the room was perfect, and there were no problems. This is a standard big-city business hotel with every amenity imaginable. I got a very good deal for a one-night stay, but they made the money back from the exorbitant parking rate and the absurd access fee for wireless internet. If you are bored of the routine hotel fare, walk two blocks to Gourmet Pantry (155 N. Michigan) for a refreshing change."
truthful,hyatt,positive,TripAdvisor,"Check-in was quick, the room was perfect, and there were no issues. This is a standard big city business hotel with every amenity imaginable. I got a great deal for a one-night stay, but they made the money back with the outrageous parking rate and absurd wireless Internet access fees. If you're tired of the usual hotel rates, walk two blocks to the Gourmet Pantry (155 N. Michigan) for a refreshing change."
truthful,conrad,positive,TripAdvisor,"arrive on 06/04/05, greeted by friendly doorman, and zipped up to the 5th Floor Lobby. Very open lobby area with friendly reception staff. Room was on the 12th Floor and very nice. Everything was in order and very clean! The king size bed was nice and each night I had a restful sleep. Bathroom was large with separate glass shower stall. The room was furnished with everything I needed including internet hook-up access. Also, you can walk thru on the 5th Fl to the Westfield North Bridge Shopping Mall, where you will enjoy Nordstrom and other stores. Of course, you're steps from Michigan Ave. too. The central location of the hotel was great, as I could walk to most places. The CTA Subway stop (Grand Ave. on Red Line) was an easy 2 block walk. I will stay here again on my next trip to Chicago!"
truthful,conrad,positive,TripAdvisor,"Arrived on 06/04/05, greeted by a friendly doorman, and went up to the 5th floor. Very open lobby with friendly front desk staff. Room was on the 12th floor and very nice. Everything was in order and very clean! The king size bed was nice and every night I had a restful night. The bathroom was large with a separate glass shower stall. The room was furnished with everything I needed including internet access. Plus you can walk up the 5th floor to the Westfield North Bridge Mall where you can enjoy Nordstrom and other stores. Of course you are also just steps from Michigan Avenue. The central location of the hotel was great as I could walk to most places. The CTA subway station (Grand Avenue on the Red Line) was 2 blocks away. I will definitely stay here again on my next trip to Chicago!"
truthful,fairmont,positive,TripAdvisor,"merely a nice place to stay... I had a great deal for the room, and was impressed with the quality. Hotel staff was very helpful; they were able to let me check out and helped me print boarding passes. Negative: It is frustrating that nowadays you do not have free internet in most hotels and it's the same here; you have to pay for the internet. Negative: Loud on the phone you may hear your neighbors on the phone, or them shower."
truthful,fairmont,positive,TripAdvisor,"Just a lovely place to stay... I got a great deal on the room and was impressed with the quality. The hotel staff were very helpful; they were able to let me check out and helped me print boarding passes. Negative: It is frustrating that nowadays you don't get free internet in most hotels and it's the same here; you have to pay for internet. Negative: The phone is noisy, you can hear your neighbors on the phone or taking a shower."
truthful,conrad,positive,TripAdvisor,"We stay at the Conrad for only one evening but it was such an amazing room we would have liked to stay longer! We were on the newly renovated 9th floor and the room was gorgeous and super clean! There was a flat screen, bose sound system and even an Ihome for our Ipod. Wireless was free and they bring you a free bottle of water at turn down. Everyone was very helpful and so friendly. We can't wait to go back again!"
